"","run_num","sp","var","mean","se","n_fish","n_dfly","mean_fish","mean_dfly","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","surv_tot","biom_fish","biom_dfly","biom_tot"
"62",11,"d","grow",0.108904865438407,0.0011022280544127,40,40,15,30,"high","high","mild","none",40,34,74,270.55,227.9,498.45
"63",11,"d","mass",6.70294117647059,0.0144266773970333,40,40,15,30,"high","high","mild","none",40,34,74,270.55,227.9,498.45
"64",11,"f","emer",92.125,0.398281062174916,40,40,15,30,"high","high","mild","none",40,34,74,270.55,227.9,498.45
"65",11,"f","grow",0.0969838498788781,0.000441401256611243,40,40,15,30,"high","high","mild","none",40,34,74,270.55,227.9,498.45
"66",11,"f","mass",6.76375,0.00891100722025783,40,40,15,30,"high","high","mild","none",40,34,74,270.55,227.9,498.45
"67",12,"d","emer",102.193548387097,0.894327107391264,40,40,15,30,"high","high","mild","none",38,31,69,258.1,211.25,469.35
"68",12,"d","grow",0.112799337293106,0.00106570899853846,40,40,15,30,"high","high","mild","none",38,31,69,258.1,211.25,469.35
"69",12,"d","mass",6.81451612903226,0.0146125444921851,40,40,15,30,"high","high","mild","none",38,31,69,258.1,211.25,469.35
"70",12,"f","emer",90.8684210526316,0.365266470803308,40,40,15,30,"high","high","mild","none",38,31,69,258.1,211.25,469.35
"71",12,"f","grow",0.101605618091717,0.000477517687490356,40,40,15,30,"high","high","mild","none",38,31,69,258.1,211.25,469.35
"72",12,"f","mass",6.79210526315789,0.0119405827752487,40,40,15,30,"high","high","mild","none",38,31,69,258.1,211.25,469.35
"73",13,"d","emer",91.05,0.609406762814545,40,40,15,30,"high","high","strong","none",24,40,64,157.05,291.85,448.9
"74",13,"d","grow",0.143941761000269,0.00083397194820729,40,40,15,30,"high","high","strong","none",24,40,64,157.05,291.85,448.9
"75",13,"d","mass",7.29625,0.0137292602911091,40,40,15,30,"high","high","strong","none",24,40,64,157.05,291.85,448.9
"76",13,"f","emer",143.208333333333,0.970113417738861,40,40,15,30,"high","high","strong","none",24,40,64,157.05,291.85,448.9
"77",13,"f","grow",0.0552766806373057,0.000461125966472344,40,40,15,30,"high","high","strong","none",24,40,64,157.05,291.85,448.9
"78",13,"f","mass",6.54375,0.012322295111856,40,40,15,30,"high","high","strong","none",24,40,64,157.05,291.85,448.9
"79",14,"d","emer",88.075,0.452180879822359,40,40,15,30,"high","high","strong","none",23,40,63,151,299.75,450.75
"80",14,"d","grow",0.146343454390908,0.000741428619119365,40,40,15,30,"high","high","strong","none",23,40,63,151,299.75,450.75
"81",14,"d","mass",7.49375,0.0182863343521456,40,40,15,30,"high","high","strong","none",23,40,63,151,299.75,450.75
"82",14,"f","emer",147.695652173913,0.953411650868143,40,40,15,30,"high","high","strong","none",23,40,63,151,299.75,450.75
"83",14,"f","grow",0.0531736253414009,0.000404493840322747,40,40,15,30,"high","high","strong","none",23,40,63,151,299.75,450.75
"84",14,"f","mass",6.56521739130435,0.0128849853973172,40,40,15,30,"high","high","strong","none",23,40,63,151,299.75,450.75
"85",15,"d","emer",92.5,0.556862778291164,40,40,15,30,"high","high","strong","none",25,40,65,161.7,293.25,454.95
"86",15,"d","grow",0.14295317106393,0.000894899138203394,40,40,15,30,"high","high","strong","none",25,40,65,161.7,293.25,454.95
"87",15,"d","mass",7.33125,0.0202838185080924,40,40,15,30,"high","high","strong","none",25,40,65,161.7,293.25,454.95
"88",15,"f","emer",137.76,1.00672935787132,40,40,15,30,"high","high","strong","none",25,40,65,161.7,293.25,454.95
"89",15,"f","grow",0.0567595390281846,0.000502244616715334,40,40,15,30,"high","high","strong","none",25,40,65,161.7,293.25,454.95
"90",15,"f","mass",6.468,0.00955475448838605,40,40,15,30,"high","high","strong","none",25,40,65,161.7,293.25,454.95
"91",16,"d","emer",87.525,0.458851251664247,40,40,15,30,"high","high","strong","none",24,40,64,156.15,296.65,452.8
"92",16,"d","grow",0.144125823072366,0.000751572455508784,40,40,15,30,"high","high","strong","none",24,40,64,156.15,296.65,452.8
"93",16,"d","mass",7.41625,0.018824398337169,40,40,15,30,"high","high","strong","none",24,40,64,156.15,296.65,452.8
"94",16,"f","emer",153.333333333333,1.23062684497048,40,40,15,30,"high","high","strong","none",24,40,64,156.15,296.65,452.8
"95",16,"f","grow",0.0508933760815113,0.000456284581764789,40,40,15,30,"high","high","strong","none",24,40,64,156.15,296.65,452.8
"96",16,"f","mass",6.50625,0.0120903980471949,40,40,15,30,"high","high","strong","none",24,40,64,156.15,296.65,452.8
"97",17,"d","emer",90.45,0.500478937285743,40,40,15,30,"high","high","strong","none",18,40,58,114.85,298.65,413.5
"98",17,"d","grow",0.146722029776669,0.000810515516034808,40,40,15,30,"high","high","strong","none",18,40,58,114.85,298.65,413.5
"99",17,"d","mass",7.46625,0.0182187286966054,40,40,15,30,"high","high","strong","none",18,40,58,114.85,298.65,413.5
"100",17,"f","emer",139.555555555556,1.05859936481466,40,40,15,30,"high","high","strong","none",18,40,58,114.85,298.65,413.5
"101",17,"f","grow",0.0553850602823651,0.000487797565637505,40,40,15,30,"high","high","strong","none",18,40,58,114.85,298.65,413.5
"102",17,"f","mass",6.38055555555556,0.0177772387808633,40,40,15,30,"high","high","strong","none",18,40,58,114.85,298.65,413.5
"103",18,"d","emer",84.525,0.361309384259316,40,40,15,30,"high","high","strong","none",25,40,65,159.1,299.9,459
"104",18,"d","grow",0.148699672265121,0.000579749089803497,40,40,15,30,"high","high","strong","none",25,40,65,159.1,299.9,459
"105",18,"d","mass",7.4975,0.0150744679286976,40,40,15,30,"high","high","strong","none",25,40,65,159.1,299.9,459
"106",18,"f","emer",149.8,0.86224513142532,40,40,15,30,"high","high","strong","none",25,40,65,159.1,299.9,459
"107",18,"f","grow",0.0501138128551243,0.00035355536568485,40,40,15,30,"high","high","strong","none",25,40,65,159.1,299.9,459
"108",18,"f","mass",6.364,0.0105438765799555,40,40,15,30,"high","high","strong","none",25,40,65,159.1,299.9,459
"109",19,"d","emer",108.033333333333,1.13365388750443,40,40,15,30,"med","high","none","none",40,30,70,275.95,197.1,473.05
"110",19,"d","grow",0.09834851402086,0.000966819982183549,40,40,15,30,"med","high","none","none",40,30,70,275.95,197.1,473.05
"111",19,"d","mass",6.57,0.0120868504591969,40,40,15,30,"med","high","none","none",40,30,70,275.95,197.1,473.05
"112",19,"f","emer",78.6,0.344173107905205,40,40,15,30,"med","high","none","none",40,30,70,275.95,197.1,473.05
"113",19,"f","grow",0.127364427843184,0.000523972069468565,40,40,15,30,"med","high","none","none",40,30,70,275.95,197.1,473.05
"114",19,"f","mass",6.89875,0.011110197945916,40,40,15,30,"med","high","none","none",40,30,70,275.95,197.1,473.05
"115",20,"d","emer",100.896551724138,1.12132777693144,40,40,15,30,"med","high","none","none",38,29,67,263.7,192.5,456.2
"116",20,"d","grow",0.103109085056021,0.00108721539395244,40,40,15,30,"med","high","none","none",38,29,67,263.7,192.5,456.2
"117",20,"d","mass",6.63793103448276,0.0166439291646918,40,40,15,30,"med","high","none","none",38,29,67,263.7,192.5,456.2
"118",20,"f","emer",80,0.397736351476223,40,40,15,30,"med","high","none","none",38,29,67,263.7,192.5,456.2
"119",20,"f","grow",0.120480070985688,0.000510385755074675,40,40,15,30,"med","high","none","none",38,29,67,263.7,192.5,456.2
"120",20,"f","mass",6.93947368421053,0.0121758636630952,40,40,15,30,"med","high","none","none",38,29,67,263.7,192.5,456.2
"121",21,"d","emer",115,1.13927372643594,40,40,15,30,"med","high","none","none",40,29,69,282.7,188.3,471
"122",21,"d","grow",0.0890076292126478,0.00103221213317173,40,40,15,30,"med","high","none","none",40,29,69,282.7,188.3,471
