"","run_num","synchrony","asymmetry","var","abs_value","se"
"191",39,"low","none","biom",432.7,NA
"192",39,"low","none","emer",98.19,4.37
"193",39,"low","none","grow",0.13,0.01
"194",39,"low","none","mass",7.33,0.12
"195",39,"low","none","surv",59,NA
"196",40,"low","none","biom",409.55,NA
"197",40,"low","none","emer",100.71,5.04
"198",40,"low","none","grow",0.13,0.01
"199",40,"low","none","mass",7.45,0.14
"200",40,"low","none","surv",55,NA
"201",41,"low","none","biom",421.75,NA
"202",41,"low","none","emer",95.81,4.53
"203",41,"low","none","grow",0.12,0
"204",41,"low","none","mass",7.27,0.11
"205",41,"low","none","surv",58,NA
"206",42,"low","none","biom",437.45,NA
"207",42,"low","none","emer",101.83,4.02
"208",42,"low","none","grow",0.14,0.01
"209",42,"low","none","mass",7.41,0.12
"210",42,"low","none","surv",59,NA
"211",43,"low","mild","biom",420.85,NA
"212",43,"low","mild","emer",108.07,4.28
"213",43,"low","mild","grow",0.12,0
"214",43,"low","mild","mass",7.65,0.14
"215",43,"low","mild","surv",55,NA
"216",44,"low","mild","biom",423.85,NA
"217",44,"low","mild","emer",100.42,3.23
"218",44,"low","mild","grow",0.11,0
"219",44,"low","mild","mass",7.44,0.12
"220",44,"low","mild","surv",57,NA
"221",45,"low","mild","biom",418.25,NA
"222",45,"low","mild","emer",109.51,4.68
"223",45,"low","mild","grow",0.11,0
"224",45,"low","mild","mass",7.6,0.17
"225",45,"low","mild","surv",55,NA
"226",46,"low","mild","biom",434.9,NA
"227",46,"low","mild","emer",112.84,4.92
"228",46,"low","mild","grow",0.11,0
"229",46,"low","mild","mass",7.5,0.13
"230",46,"low","mild","surv",58,NA
"231",47,"low","mild","biom",439,NA
"232",47,"low","mild","emer",111.78,4.79
"233",47,"low","mild","grow",0.11,0
"234",47,"low","mild","mass",7.44,0.14
"235",47,"low","mild","surv",59,NA
"236",48,"low","mild","biom",429.9,NA
"237",48,"low","mild","emer",113.83,4.68
"238",48,"low","mild","grow",0.11,0
"239",48,"low","mild","mass",7.41,0.13
"240",48,"low","mild","surv",58,NA
"241",49,"low","strong","biom",435.1,NA
"242",49,"low","strong","emer",132.61,4.36
"243",49,"low","strong","grow",0.09,0
"244",49,"low","strong","mass",8.06,0.21
"245",49,"low","strong","surv",54,NA
"246",50,"low","strong","biom",445.5,NA
"247",50,"low","strong","emer",138.16,4.83
"248",50,"low","strong","grow",0.09,0
"249",50,"low","strong","mass",7.96,0.22
"250",50,"low","strong","surv",56,NA
"251",51,"low","strong","biom",435.7,NA
"252",51,"low","strong","emer",141.9,5.64
"253",51,"low","strong","grow",0.09,0.01
"254",51,"low","strong","mass",8.38,0.28
"255",51,"low","strong","surv",52,NA
"256",52,"low","strong","biom",423.85,NA
"257",52,"low","strong","emer",132.9,4.58
"258",52,"low","strong","grow",0.09,0
"259",52,"low","strong","mass",8.31,0.24
"260",52,"low","strong","surv",51,NA
"261",53,"low","strong","biom",445.7,NA
"262",53,"low","strong","emer",143.42,5.85
"263",53,"low","strong","grow",0.09,0
"264",53,"low","strong","mass",8.41,0.27
"265",53,"low","strong","surv",53,NA
"266",54,"low","strong","biom",435.3,NA
"267",54,"low","strong","emer",134.32,5.51
"268",54,"low","strong","grow",0.09,0
"269",54,"low","strong","mass",8.21,0.22
"270",54,"low","strong","surv",53,NA
